citizen_id,national_id,first_name,last_name,age,health_status,citizen_type,registered_date,phone
C001,1100100000001,น้องปลา,สมใจ,5,healthy,risk_group,2025-01-15,081-111-0001
C002,1100100000002,น้องฟ้า,จันทร์เพ็ญ,8,healthy,risk_group,2025-01-15,081-111-0002
C003,1100100000003,คุณตาสม,บุญมาก,78,chronic,risk_group,2025-01-15,081-111-0003
C004,1100100000004,คุณยายมา,ศรีสุข,82,critical,risk_group,2025-01-15,081-111-0004
C005,1100100000005,น้องแก้ว,วงศ์ดี,3,healthy,risk_group,2025-01-16,081-111-0005
C006,1100100000006,คุณตาเปลี่ยน,ใจดี,75,chronic,risk_group,2025-01-16,081-111-0006
C007,1100100000007,น้องโอ๊ค,เติบโต,10,healthy,risk_group,2025-01-16,081-111-0007
C008,1100100000008,คุณยายทองดี,สุขสม,80,critical,risk_group,2025-01-16,081-111-0008
C009,1100100000009,พล.ต.สมชาย,เกียรติศักดิ์,55,healthy,vip,2025-01-15,081-222-0001
C010,1100100000010,ดร.วิภา,นิธิกุล,48,healthy,vip,2025-01-15,081-222-0002
C011,1100100000011,คุณหญิงประภา,วรรณลักษณ์,65,chronic,vip,2025-01-16,081-222-0003
C012,1100100000012,ศ.ดร.ประยุทธ์,รักชาติ,58,healthy,vip,2025-01-16,081-222-0004
C013,1100100000013,สมศักดิ์,แก้วมณี,35,healthy,general,2025-01-15,081-333-0001
C014,1100100000014,สุดา,พลอยงาม,28,healthy,general,2025-01-15,081-333-0002
C015,1100100000015,ประเสริฐ,คงทน,42,healthy,general,2025-01-16,081-333-0003
C016,1100100000016,วิไล,สุขสบาย,30,healthy,general,2025-01-16,081-333-0004
C017,1100100000017,อนุชา,ศิริพงษ์,25,healthy,general,2025-01-16,081-333-0005
C018,1100100000018,มานพ,เจริญสุข,38,healthy,general,2025-01-17,081-333-0006
C019,1100100000019,จันทรา,บุญเรือง,45,healthy,general,2025-01-17,081-333-0007
C020,1100100000020,สมพร,รุ่งเรือง,50,healthy,general,2025-01-17,081-333-0008
C021,1100100000021,บุญมี,ทองดี,33,healthy,general,2025-01-17,081-333-0009
C022,1100100000022,วรรณา,สว่างแจ้ง,29,healthy,general,2025-01-18,081-333-0010
C023,1100100000023,สำราญ,จิตใส,40,chronic,general,2025-01-15,081-444-0001
C024,1100100000024,พรทิพย์,แสงจันทร์,55,critical,general,2025-01-15,081-444-0002
C025,1100100000025,ไพศาล,ธรรมดี,60,chronic,general,2025-01-16,081-444-0003
C026,1100100000026,บุญส่ง,มาดี,47,chronic,general,2025-01-16,081-444-0004
C027,1100100000027,รัตนา,เพชรดี,52,critical,general,2025-01-17,081-444-0005
C028,1100100000028,ธนา,ภักดี,22,healthy,general,2025-01-18,081-555-0001
C029,1100100000029,กมล,สิริ,27,healthy,general,2025-01-18,081-555-0002
C030,1100100000030,ปราณี,ชูใจ,31,healthy,general,2025-01-18,081-555-0003
C031,1100100000031,สุวิทย์,เก่งกาจ,44,healthy,general,2025-01-18,081-555-0004
C032,1100100000032,นภา,อุดมสุข,36,healthy,general,2025-01-19,081-555-0005
C033,1100100000033,วิชัย,กล้าหาญ,41,healthy,general,2025-01-19,081-555-0006
C034,1100100000034,ลำดวน,สุขใจ,70,chronic,risk_group,2025-01-20,081-555-0010
C035,1100100000035,สมหมาย,ดีเลิศ,46,chronic,general,2025-01-19,081-555-0009
